review_id,review_text,sentiment,product_category,is_hinglish,is_borderline,rating
REV00190,Build quality is solid. Looks even better in person.,positive,Footwear,False,False,4
REV00191,Bahut sundar hai aur build bhi solid lagta hai yaar.,positive,Footwear,True,False,5
REV00192,Unboxed this today and immediately impressed by the quality.,positive,Books,False,False,5
REV00193,"Reliable product, came well packaged, does the job well.",positive,Footwear,False,False,5
REV00194,"Good product, good delivery. Happy customer overall.",positive,Toys,False,False,5
REV00195,Excellent item. Fast shipping. Great seller to buy from.,positive,Clothing,False,False,5
REV00196,Build quality is solid. Looks even better in person.,positive,Clothing,False,False,5
REV00197,"Smooth delivery, zero damage, product works like a charm.",positive,Beauty,False,False,5
REV00198,Awful experience from start to finish. Never buying again.,negative,Books,False,False,2
REV00199,Really happy with this purchase. Will definitely buy again.,positive,Beauty,False,False,3
REV00200,Loved it! Quality exceeded my expectations completely.,positive,Footwear,False,False,4
REV00201,Kaafi achi quality hai bhai. Definitely try karo isko.,positive,Electronics,True,False,4
REV00202,Excellent quality. Worth every rupee I spent on this.,positive,Footwear,False,False,5
REV00203,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Books,False,False,4
REV00204,"Ek dum mast item hai yaar. Worth the price, no regrets.",positive,Beauty,True,False,5
REV00205,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Electronics,False,False,5
REV00206,Delivered on time and product is premium quality.,positive,Clothing,False,False,4
REV00207,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Footwear,False,False,5
REV00208,Build quality is solid. Looks even better in person.,positive,Beauty,False,False,4
REV00209,Totally worth it. A must buy for anyone looking for this.,positive,Books,False,False,4
REV00210,Loved it! Quality exceeded my expectations completely.,positive,Clothing,False,False,4
REV00211,Terrible quality. Nothing like the pictures shown online.,negative,Books,False,False,1
REV00212,Works perfectly. No complaints whatsoever. 5 stars.,positive,Books,False,False,2
REV00213,Totally worth it. A must buy for anyone looking for this.,positive,Electronics,False,False,4
REV00214,Great value for money. Very impressed with the build.,positive,Footwear,False,False,5
REV00215,Bahut sundar hai aur build bhi solid lagta hai yaar.,positive,Books,True,False,5
REV00216,Unboxed this today and immediately impressed by the quality.,positive,Footwear,False,False,4
REV00217,Superb quality and packaging was also great. No complaints.,positive,Toys,False,False,5
REV00218,"Reliable product, came well packaged, does the job well.",positive,Beauty,False,False,5
REV00219,"perfect gift, recipient loved it. packaging was neat.",positive,Electronics,False,False,4
REV00220,Looks premium and feels premium too. No regrets at all.,positive,Beauty,False,False,5
REV00221,Five stars! Product is exactly as described. Fast shipping.,positive,Electronics,False,False,5
REV00222,Material quality is outstanding. Very pleased with it.,positive,Clothing,False,False,4
REV00223,Product looks exactly like the photos. Very satisfied customer.,positive,Toys,False,False,4
REV00224,"Sach mein bahut badhiya hai bhai, paisa vasool hai.",positive,Clothing,True,False,5
REV00225,Very sturdy and well-made. Exceeded expectations honestly.,positive,Books,False,False,4
REV00226,"Looks decent in photos, slightly different in person.",positive,Books,False,True,4
REV00227,Amazing product! Exactly Exactly what I needed. Delivery was fast too.,positive,Books,False,False,5
REV00228,Works perfectly. No complaints whatsoever. 5 stars.,positive,Electronics,False,False,5
REV00229,Impressed with the attention to detail. Highly satisfied.,positive,Clothing,False,False,4
REV00230,Absolutely love this this product. My whole family liked it.,positive,Beauty,False,False,4
REV00231,Price is fair for what you get. Good investment overall.,positive,Footwear,False,False,4
REV00232,Very good quality. Dil khush ho gaya dekhke ekdum.,positive,Beauty,True,False,5
REV00233,Build quality is solid. Looks even better in person.,positive,Beauty,False,False,5
REV00234,Really happy with this purchase. Will definitely buy again.,positive,Sports,False,False,5
REV00235,Five stars! Product is exactly as described. Fast shipping.,positive,Beauty,False,False,5
REV00236,Complete waste of money. Do not buy this product at all.,negative,Electronics,False,False,1
REV00237,Best purchase I made this year. Highly recommend to everyone.,positive,Beauty,False,False,5
REV00238,Really happy with this purchase. Will definitely buy again.,positive,Clothing,False,False,5
REV00239,Just received my order and I must say it is wonderful.,positive,Beauty,False,False,4
REV00240,Material quality is terrible. Fell apart within a week.,negative,Sports,False,False,2
REV00241,Super overpriced for this quality. Total rip off honestly.,negative,Electronics,False,False,2
REV00242,Product looks exactly like the photos. Very satisfied customer.,positive,Electronics,False,False,4
REV00243,Ekdum best product hai. Koi complaint nahi hai mujhe.,positive,Books,True,False,4
REV00244,Amazing product! Exactly what I needed. Delivery was fast too.,positive,Electronics,False,False,5
REV00245,Superb quality and packaging was also great. No complaints.,positive,Electronics,False,False,5
REV00246,Loved it! Quality exceeded my expectations completely.,positive,Clothing,False,False,4
REV00247,Product looks exactly like the photos. Very satisfied customer.,positive,Books,False,False,4
REV00248,"Theek hai yaar, kuch special nahi par kaam chalta hai.",positive,Books,True,True,3
REV00249,Meets basic needs but nothing extraordinary about it.,positive,Electronics,False,True,4
REV00250,Works as described but the quality is a bit disappointing.,positive,Furniture,False,True,4
REV00251,Fake product. Smells awful and looks nothing like the listing.,negative,Sports,False,False,2
REV00252,Absolutely love this product. My whole family liked it.,positive,Footwear,False,False,4
REV00253,Absolutely love this product. My whole family liked it.,positive,Electronics,False,False,4
REV00254,Unboxed this today and immediately impressed by the quality.,positive,Footwear,False,False,5
REV00255,Ekdum best product hai. Koi complaint nahi hai mujhe.,positive,Beauty,True,False,5
REV00256,Zabardast item! Jaldi deliver hua aur condition mein perfect tha.,positive,Clothing,True,False,4
REV00257,Totally worth it. A must buy for anyone looking for this.,positive,Footwear,False,False,4
REV00258,"Smooth Smooth delivery, zero damage, product works like a charm.",positive,Books,False,False,5
REV00259,Superb quality and packaging was also great. No complaints.,positive,Electronics,False,False,4
REV00260,Bahut acha product hai! Delivery bhi fast thi. Bilkul recommend karunga.,positive,Books,True,False,5
REV00261,Totally worth it. A must buy for anyone looking for this. this.,positive,Books,False,False,5
REV00262,Material quality is outstanding. Very pleased with it.,positive,Beauty,False,False,5
REV00263,Build quality is solid. Looks even better in person.,positive,Electronics,False,False,5
REV00264,Delivered on time and product is premium quality.,positive,Sports,False,False,4
REV00265,"It is okay I guess, nothing special but does the job.",negative,Footwear,True,True,4
REV00266,Kaafi achi quality hai bhai. Definitely try karo isko.,positive,Electronics,True,False,4
REV00267,Arrived 2 days early and the quality is fantastic.,positive,Footwear,False,False,5
REV00268,Price is fair for what you get. Good investment overall.,positive,Footwear,False,False,4
REV00269,Build quality is solid. Looks even better in person.,positive,Electronics,False,False,4
REV00270,Unboxed this today and immediately impressed by the quality.,positive,Beauty,False,False,5
REV00271,Kaafi achi quality hai bhai. Definitely try karo isko.,positive,Beauty,True,False,4
REV00272,Delivered on time and prod is premium qlty.,positive,Clothing,False,False,5
REV00273,"Good product, good delivery. Happy customer overall.",positive,Furniture,False,False,4
REV00274,Worst product hai bhai. Sab jhooth tha description mein.,negative,Clothing,True,False,2
REV00275,Works perfectly. No complaints whatsoever. 5 stars!!,positive,Clothing,False,False,4
REV00276,Just received my order and I must say it is wonderful.,positive,Books,False,False,4
REV00277,Five stars! Product is exactly as described. Fast shipping.,positive,Electronics,False,False,5
REV00278,Superb quality and packaging was also great. No complaints.,positive,Books,False,False,5
REV00279,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Clothing,False,False,5
REV00280,Product works but customer service was not great.,negative,Beauty,False,True,2
REV00281,Looks premium and feels premium too..  No regrets at all.. ,positive,Furniture,False,False,4
REV00282,Ekdum best prod hai. Koi complaint nahi hai mujhe.,positive,Sports,True,False,5
REV00283,Kaafi achi qlty hai bhai. Definitely try karo isko.,positive,Electronics,True,False,5
REV00284,Really happy with this purchase. Will definitely buy again.,positive,Electronics,False,False,4
REV00285,unboxed this today and immediately impressed by the quality.,positive,Beauty,False,False,5
REV00286,Very sturdy and well-made. Exceeded expectations honestly.,positive,Electronics,False,False,5
REV00287,"Smooth delivery, zero damage, product works like a charm.",positive,Beauty,False,False,4
REV00288,Order kiya aur 3 din mein aa gaya. Quality bhi top hai.,positive,Electronics,True,False,5
REV00289,Delivered late AND the product was wrong. Unacceptable.,negative,Electronics,False,False,2
REV00290,Impressed with the attention to detail. Highly satisfied.,positive,Electronics,False,False,5
REV00291,Product looks exactly like the photos. Very satisfied customer.,positive,Footwear,False,False,4
REV00292,Product works but customer service was not great.,positive,Footwear,False,True,3
REV00293,Very sturdy and well-made. Exceeded expectations honestly.,positive,Electronics,False,False,4
REV00294,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Beauty,False,False,4
REV00295,Best purchase I made this year. Highly recommend to everyone.,positive,Clothing,False,False,4
REV00296,Great customer service and the product is top notch.,positive,Beauty,False,False,4
REV00297,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Beauty,False,False,5
REV00298,Best purchase I made this year. Highly recommend to everyone.,positive,Electronics,False,False,5
REV00299,Price is fair for what you get. Good investment overall.,positive,Books,False,False,4
REV00300,Price is fair for what you get. Good investment overall.,positive,Clothing,False,False,5
REV00301,Build quality is solid. Looks even better in person.,positive,Electronics,False,False,5
REV00302,Best purchase I made this year. Highly recommend to everyone.,positive,Footwear,False,False,4
REV00303,Maine pehle socha tha theek hoga but it is amazing yaar.,positive,Clothing,True,False,5
REV00304,"Good product, good delivery. Happy customer overall.",positive,Electronics,False,False,5
REV00305,Zabardast item! Jaldi deliver hua aur condition mein perfect tha.,positive,Electronics,True,False,2
REV00306,Great value for money. Very impressed with the build.,positive,Toys,False,False,5
REV00307,Best purchase I made this year. Highly recommend to everyone.,positive,Furniture,False,False,5
REV00308,Great customer service and the product is top notch.,positive,Books,False,False,5
REV00309,Loved it! Quality exceeded my expectations completely.,positive,Clothing,False,False,4
REV00310,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Clothing,False,False,5
REV00311,Very durable. Been using it for 3 weeks with zero issues.,positive,Books,False,False,4
REV00312,"Smooth delivery, zero damage, product works like a charm.",positive,Clothing,False,False,4
REV00313,Impressed with the attention to detail. Highly satisfied.,positive,Books,False,False,5
REV00314,Superb quality and packaging was also great. No complaints.,positive,Sports,False,False,5
REV00315,"Smooth delivery, zero damage, product works like a charm.",positive,Clothing,False,False,5
REV00316,Great customer service and the product is top notch.,positive,Beauty,False,False,4
REV00317,"Reliable product, came well packaged, does the job well.",positive,Books,False,False,4
REV00318,Looks premium and feels premium too. No regrets at all.,positive,Electronics,False,False,5
REV00319,Works perfectly. No complaints whatsoever. 5 stars.,positive,Sports,False,False,4
REV00320,Maine pehle socha tha theek hoga but it is amazing yaar.,positive,Electronics,True,False,5
REV00321,Great value for money. Very impressed with the build.,positive,Sports,False,False,5
REV00322,Impressed with the attention to detail. Highly satisfied.,positive,Footwear,False,False,4
REV00323,"Smooth delivery, zero damage, product works like a charm.",positive,Beauty,False,False,5
REV00324,Build quality is solid. Looks even better in person.,positive,Footwear,False,False,4
REV00325,"Looks decent in photos, slightly different in person.",negative,Clothing,False,True,4
REV00326,Very durable. Been using it for 3 weeks with zero issues.,positive,Electronics,False,False,5
REV00327,Delivered on time and product is premium quality.,positive,Clothing,False,False,4
REV00328,Arrived 2 days early and the quality is fantastic.,positive,Footwear,False,False,4
REV00329,Paise ki full value mili. Highly recommend karunga sab ko.,positive,Beauty,True,False,5
REV00330,Five stars! Product is exactly as described. Fast shipping.,positive,Electronics,False,False,5
REV00331,Absolutely love this product. My whole family liked it.,positive,Electronics,False,False,5
REV00332,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Books,False,False,4
REV00333,"Average hi hai, na zyada accha na bura. Chalega.",negative,Footwear,True,True,3
REV00334,Five stars! Product is exactly as described. Fast shipping.,positive,Clothing,False,False,5
REV00335,Loved it! Quality exceeded my expectations completely.,positive,Books,False,False,5
REV00336,Scam! The product is completely different from what was shown.,negative,Books,False,False,1
REV00337,Just received my order and I must say it is wonderful.,positive,Clothing,False,False,4
REV00338,Mast product! Mere ghar mein sab ne pasand kiya isko.,positive,Clothing,True,False,5
REV00339,"Good for the price, but do not expect premium quality.",negative,Clothing,False,True,3
REV00340,Superb quality and packaging was also great. great. No complaints.,positive,Footwear,False,False,4
REV00341,Superb quality and packaging was also great. No complaints.,positive,Books,False,False,4
REV00342,"Reliable product, came well packaged, does the job well.",positive,Footwear,False,False,5
REV00343,Bahut acha product hai! Delivery bhi fast thi. Bilkul recommend karunga.,positive,Footwear,True,False,5
REV00344,"Ordered on Monday, arrived Thursday. Works as advertised.",positive,Footwear,False,False,4
REV00345,Maine pehle socha tha theek hoga but it is amazing yaar.,positive,Beauty,True,False,4
REV00346,"Worst purchase ever. Totally useless, stopped working instantly.",negative,Beauty,False,False,2
REV00347,Product looks exactly like the photos. Very satisfied customer.,positive,Toys,False,False,5
REV00348,Unboxed this today and immediately impressed by the quality.. ,positive,Electronics,False,False,4
REV00349,Great value for money. Very impressed with the build.,positive,Beauty,False,False,5
